slug,yoast_metadescription
how-long-do-oil-filled-radiators-last,"An oil-filled radiator lasts at least 20+ years. If it is not exposed to weather and large temperature changes, it will run for 30 years."
how-to-improve-wood-stove-efficiency,"To improve your wood stove’s efficiency, use a firewood holder, install a wood stove insert or a reflective wall heat shield."
best-air-conditioners-for-small-rooms,"The best air conditioner for small rooms is a 5,000 BTU window air conditioner. A large AC for your entire living space is even better."
is-a-single-or-dual-hose-portable-ac-better,"Dual-hose portable air conditioners are always better than single-hose units. Dual-hose air conditioners are a lot more efficient."
quietest-portable-air-conditioners,"The quietest portable air conditioner is a 47dB TOSOT unit. After that, most quiet air conditioners are rated either 51dB or 52dB."
do-heat-pumps-dry-the-air,"No, heat pumps do not dry the air. They reduce the air's relative humidity, making it feel dryer. You can add humidity using a humidifier."
can-you-use-a-space-heater-for-a-sauna,"Yes, you can use space heaters to heat a sauna. You have to use two electric space heaters simultaneously or one propane gas heater."
where-to-place-an-infrared-heater,"The most efficient infrared heater placement is immediately in front of people. This maximizes the density of the infrared rays."
can-you-run-two-portable-air-conditioners-at-once,"You can run two portable air conditioners at once on the same circuit if they do not draw current more than the amperage of the circuit."
can-you-run-wood-stove-pipe-through-window,"Yes, you can run a wood stove pipe through a window using double-walled metal pipes and a metal sheet to cover the window space."
how-long-does-a-100lb-propane-tank-last,"A 100lb propane tank lasts between 13 hours to 576 hours depending on the heating power. With a 9,000 BTU heater, it lasts for 192 hours."
why-is-propane-heater-using-so-much-gas,"Your Propane heater consumes more gas than usual if there is a leakage in the gas tank, hose, or heater itself."
how-to-improve-oil-filled-radiator-efficiency,"Oil-filled radiators are 100% efficient. You can improve its perceived efficiency (the amount of heat reaching you) through proper placement."
can-you-burn-coal-in-a-wood-stove,"It is not recommended to burn coal in a wood stove. While it is possible, it is not efficient and can cause damage to your stove."
oil-filled-radiator-not-getting-hot,"Oil-filled radiators stop heating because of a broken thermostat. Also, the thermostat can cut off the heating if the room is already warm."
how-to-fix-window-air-conditioner-not-cooling,"To fix a window air conditioner not cooling, ensure that all airways are free. Clean the evaporator coil. Ensure that the power supply is OK."
can-you-use-an-oil-filled-radiator-in-a-bathroom,"Yes, you can use an oil-filled radiator in a bathroom. The large metal heating body is safe, even when water is splashed on it."
can-you-use-an-oil-filled-radiator-in-an-rv,"Yes, you can use an oil-filled radiator in an RV. You can run any oil-filled radiator off shore power, off a generator, or off the batteries."
can-candles-cause-carbon-monoxide-poisoning,"Yes, candles can cause carbon monoxide poisoning, but it’s highly unlikely. Candles produce too little CO to cause a poisoning."
how-to-make-a-window-ac-more-efficient,"You can make your window AC more efficient by insulating windows, gaps below your door. Clean the evaporator coil and air filter."
how-to-insulate-a-window-ac,"You can add insulation around a window AC by gluing styrofoam panels around the sides. To close all air gaps, use spray foam or foam tape."
can-you-run-an-infrared-heater-overnight,"Yes, you can run a quality infrared heater overnight given it is made of fireproof material and has built-in overheat protection."
how-to-make-an-infrared-heater-more-efficient,"You can increase your infrared heater's perceived efficiency through room insulation and proper placement within your room."
do-infrared-heaters-need-to-be-vented,"No, you never need to vent an electric infrared heater. They don’t burn fuel or gas. Therefore, they emit no waste gases or water vapor."
how-to-fix-a-dyson-heater-not-blowing-hot-air,"Your Dyson heater does not blow hot air if airways are blocked with dust and moisture. You can fix this by dry-brushing internal parts."
how-long-can-you-run-a-dyson-heater,"You can run a Dyson heater 24/7 in your bedroom, living room, or kitchen. Dyson heaters don’t overheat when running them for long durations."
how-to-fix-a-dyson-heater-not-turning-on,"You can fix a Dyson heater not turning on by making sure the wall outlet and power cord work. Clean the airways (inlet holes, air filter)."
how-long-does-a-propane-tank-last-on-a-patio-heater,"An average patio heater (45,000 BTU/h) lasts 7 hours with a 20lb propane tank and 13 hours with a 40lb propane tank."
are-infrared-heaters-safe-indoors,"Electric infrared heaters are safe to use indoors. Don’t place anything right in front of the heater, as the radiation can ignite it."
best-ventless-propane-heaters,"The best ventless propane heaters on the market are the Rinnai and Dyna-Glo models. They produce good-quality heaters that last a long time!"
propane-vs-electric-space-heater,"Propane heaters are better than electric space heaters for rooms without a heat source or access to electricity. They are cheaper to run and produce more heat."
can-you-use-a-surge-protector-with-a-space-heater,"Yes, you can use a surge protector with your space heater. In the US, you can use a 15A surge protector with any space heater."
are-propane-heaters-safe-indoors,"Yes, propane heaters are safe indoors! But propane heaters can emit enough heat to ignite household things (wood, curtains, carpets)."
how-to-fix-a-mr-heater-buddy-not-lighting,"You can fix your Mr. Heater Buddy not lighting by cleaning the pilot light opening with a Q-tip and rubbing alcohol. Also, firmly smack your Mr. Heater 5-10 times."
can-ventless-heaters-cause-carbon-monoxide-poisoning,"Yes, you can theoretically get carbon monoxide poisoning from a ventless heater. However, it is unlikely if you vent your room regularly."
propane-heater-keeps-shutting-off,"Propane heaters usually keep shutting off and don’t stay lit because of a dirty pilot light or thermocouple."
dyson-fan-not-rotating,"Dyson heaters usually don’t rotate if there’s still tape on your Dyson fan's base body split section. Also the rotor could be defective."
propane-heater-making-noise,"Some propane heater noises such as clicking and crackling are normal. They come from the thermostat, or heater parts expanding."
wood-stove-not-getting-hot,"A wood stove usually does not get hot because of insufficient oxygen supply. You can fix this by cleaning the chamber, vents, and wood grate."
how-much-do-infrared-heaters-cost-to-run,"An infrared heater costs $57 a month given it runs on full power for 8 hours a day. Factoring in placement and heat settings saves up to 40%."
why-is-infrared-hotter-than-visible-light,"Infrared radiation is not hotter than visible light. Most radiators, however, emit the majority of their heat as infrared radiation."
can-you-put-a-space-heater-on-a-table,"Yes, you can put a space heater on a table. Space heaters radiate heat away from the tabletop, so there is no risk of fire."
do-propane-heaters-need-electricity,"No, portable propane heaters never need electricity and work fully off-grid. However, central heating propane furnaces need electricity."
can-you-use-a-gas-stove-as-a-heater,"Yes, you can use a gas stove as a heater. To do it safely, monitor the flame color (should be blue) and vent your room occasionally."
space-heater-smoking-fixes,"Broken space heaters usually smoke from the heating elements, the internal power electronics, the power cord, or the case."
are-mr-heater-buddy-heaters-any-good,"Mr. Heater Buddy heaters are not good for everyone. They get over >1,000°F. Their protection grid can’t prevent fire."
are-mr-heaters-safe-in-a-tent,"Mr. Heater Buddy and Big Buddy heaters are only safe to use in >3-person tents. For smaller tents, you should get the Little Buddy heater."
whats-the-safest-propane-heater,"The Mr. Heater Big Buddy and Big Maxx models are the safest propane heaters by specification. However, real heater safety is up to you."
blue-flame-vs-infrared-heater,"Technically, infrared heaters are better than blue flame heaters since they radiate some of the heat into the room."
window-ac-making-noise-fixes,"Window AC noises are usually not dangerous. But scratching, whistling or banging noises indicate larger failures in your window AC."
swamp-cooler-making-noise-fixes,"Swamp coolers make humming, gurgling and crackling noises. These are expected. You can reduce these normal noises with anti-vibration pads."
swamp-cooler-not-blowing-cold-air,"Possible causes for a swamp cooler not blowing cold air are a broken fan, clogged air filters, a broken water pump, or clogged water lines."
evaporative-cooler-not-turning-on,"An evaporative cooler won’t turn on if it does not receive electric power. Causes are broken wall outlets, power cords, or blown fuses."
best-space-heaters-not-hot-to-touch,"The Dyson Hot + Cool is the best space heater that’s not hot to the touch. A cost-effective alternative is a DeLonghi oil-filled radiator."
best-vented-gas-heaters,"The best vented gas heaters are the Mr. Heater Big Maxx models and the Rinnai direct-vent heater. All three of them are high-quality."
how-to-fix-a-honeywell-space-heater-not-working,"To fix your Honeywell heater not working, open its case and clean out all of the dust. Also, plug it in another wall outlet."
how-long-does-a-20lb-propane-tank-last,"A 20lb propane tank lasts for 38 hours of heating on a regular 9,000 BTU portable propane heater, or between 6 to 12 hours on large heaters."
best-vented-propane-heater-without-electricity,"Vented propane heaters always need electricity to power their built-in fan which blows waste gases through the vent."
how-to-fix-a-vornado-heater-not-working,"To fix a Vornado heater not working, open the case, remove dust which causes overheating and inspect the electronic circuitry."
how-to-fix-a-dyna-glo-heater-not-lighting,"Dyna-Glo heaters usually don’t light when the pilot light is clogged, the thermocouple is dirty, or when the igniter doesn’t spark."
best-swamp-coolers-for-garages,"he best swamp cooler for most garages is the Hessaire MC37M. It’s got enough power to cool even spacey garages and it is very durable."
best-swamp-coolers-for-bedrooms,"The best bedroom swamp coolers are the Hessaire MC37M and MC18M models. Their water tanks last for a full night."
can-a-swamp-cooler-catch-on-fire,"A swamp cooler will not catch fire, even when the water runs out. Swamp coolers run on low wattages, which makes overheating highly unlikely."
can-a-swamp-cooler-run-all-day,"Yes, you can run a swamp cooler all day. Swamp coolers do not add humidity to your room indefinitely, because they run at room temperature."
where-do-swamp-coolers-work-us-states,"Swamp coolers work in almost every US state during the afternoon, because that is the driest time of the day."
how-to-fix-swamp-cooler-smell,"You can fix swamp cooler smell by cleaning or replacing the water pads. Also, clean the water tank with a vinegar and water solution."
swamp-cooler-vs-air-conditioner-comparison,"Swamp coolers are way cheaper to run and do not require any installation. Air conditioners, however, work anywhere and anytime."
can-you-run-a-swamp-cooler-without-water,"Yes, you can run a swamp cooler without water. Once the water runs out, it becomes a simple fan. So, you still have a cooling effect."
does-ice-in-a-swamp-cooler-make-sense,"Putting ice in a swamp cooler doesn't make sense. The addition of ice doesn't enhance cooling, but it increases energy consumption."
do-swamp-coolers-need-open-windows,"No, swamp coolers do not need open windows to operate effectively. For optimal performance and energy efficiency, keep your windows closed."
best-swamp-cooler,"The best swamp cooler is the Hessaire MC37M. It is robust, has more than enough power to cool even large spaces, and lasts a lifetime."
best-air-purifier,"The best air purifier is the Levoit Core 300. It is simple, collects a lot of dust and is easy to maintain."
air-purifier-running-cost-guide,"An average air purifier costs $15.24 to run per year. Factoring in replacement filter cost, the total yearly cost is $50.24."
can-you-run-air-purifier-all-day,"Yes, you can run an air purifier 24/7. Air purifiers run on low power and don’t overheat. The monthly running cost is $3.80."
can-you-run-air-purifier-with-window-open,"Yes, you can run an air purifier with a window open. In most areas, outdoor air is clean and the airstream can support air purification."
can-you-run-air-purifier-and-humidifier-at-the-same-time,"Yes, you can run an air purifier and a humidifier at the same time. However, place them far apart, so the purifier does not absorb the vapor."
how-to-fix-an-air-purifier-not-turning-on,"The most common cause of an air purifier not turning is the power source not working (wall outlet or power cord)."
air-purifier-making-noise-fixes,"Some noises, for example, quiet humming are normal. However, loud buzzing, screeching, or even banging noises indicate danger."
how-to-fix-an-air-purifier-not-collecting-dust,"Your air purifier might not collect dust due to clogged filters, unsuitable room size, improper placement, or seals on new filters."
air-purifier-not-removing-odors-fixes,"Odor issue? Ensure your purifier has an activated carbon filter. Run it for 8+ hours and regularly replace filters. Tackle smell sources."
why-your-air-purifier-smells,"An air purifier smells after 6-12 months of not exchanging filters. 1. Replace filters. 2. Run it 8 hours a day. 3. Place away from humidity."
are-coway-airmega-air-purifiers-worth-it,"1. Coway Airmega air purifiers don’t filter air better. 2. Coway Airmegas are overpriced. 3. Coway claims things but does not prove with data."
how-to-fix-a-coway-air-purifier-not-working,"How to fix a Coway air purifier 1. not turning on, 2. not blowing air, 3. indicator light issues, 4. connectivity issues"
can-you-use-an-extension-cord-with-an-air-purifier,"Yes, you can use an extension cord with an air purifier. Extension cords support 13 Amps. More than the 2.5 Amps the strongest purifiers draw."
how-long-does-a-420lb-propane-tank-last,"A 420lb propane tank can last from roughly 60 hours up to an impressive 2,419 hours, depending on the heater's BTU rating."
are-air-purifiers-safe-for-pets,"Yes, air purifiers are generally safe for pets. However, ensure you’re using a HEPA air purifier. Never use an ionizer."
dyson-fan-not-cooling-fixes,"A Dyson fan is usually not cooling because of blocked airways (air filter, air inlet holes). Ensure it is not in backward airflow mode."
coway-air-purifier-indicator-lights-meanings-colors-blinking,"Blue air quality indicator lights indicate good air quality, while pink or red air quality indicator lights indicate high pollution."
are-tower-fans-better-than-pedestal-fans,"Tower fans are plain novelty marketing. A modern pedestal fan outperforms a tower fan in 1. design, 2. airflow, and 3. safety."
ceramic-vs-infrared-heater-efficiency,"Ceramic heaters warm slowly, needing insulation. Infrared heaters emit heat instantly, no insulation required."
space-heater-making-noise-fixes,"Space heaters making clicking or humming noises are safe and expected. Screeching, squealing, or buzzing noises indicate electric issues."
how-to-fix-a-space-heater-cord-getting-hot,"I measured the cord temperatures of two different space heaters. One cord got hot, the the other didn't. Here's why and how to fix it."
how-to-fix-space-heater-smell,"To fix space heater smell: 1. Run your heater on full power 2. Clean the casing 3. Clean the heating elements 4. Check the power cord"
how-to-use-dyson-hot-cool-without-remote,"Press the standby button to turn on and off your Dyson Hot + Cool. Press and hold to cycle temperature settings. Buy a replacement remote."
do-space-heaters-burn-oxygen,"Electric space heaters never burn oxygen. But fuel-burning space heaters such as propane heaters do burn oxygen."
best-space-heaters-for-rooms-with-high-ceilings,"Best space heaters for rooms with high ceillings: 1. Wall-mounted infrared heaters 2. Hanging infrared heaters 3. Standing infrared heaters"
best-space-heaters-for-the-office,"Best space heaters for the office: Infrared heaters, oil-filled radiators, and neck warmers / heating pads, if space heaters are not allowed."
are-any-space-heaters-made-in-the-usa,"There are no space heaters that are 100% made in the USA, but some are engineered, designed, or assembled in the country."
can-space-heaters-explode,"Space heaters can't explode by design. There is no chamber where pressure can build up. Additionally, they use non-flammable materials."
are-vornado-fans-worth-it,"Yes, Vornado fans are worth it. They output a focused stream of air, ideal for cooling people. Their build quality is superior."
are-vornado-heaters-energy-efficient,"Yes, Vornado heaters are energy efficient. Instead of heating the whole room evenly, Vornado heaters blow a focused stream of hot air."
are-dyson-air-purifiers-worth-the-money,"Yes, Dyson air purifiers are worth the money for their detailed air quality monitoring features. Also, Dyson air purifiers look great."
dyson-big-quiet-review,"The Dyson Big+Quiet is technically superior to regular-sized air purifiers. But within the premium segment, they prove overly expensive."
nuwave-oxypure-review,"The Nuwave OxyPure is the only air purifier (I know) that drops ozone levels. Regular HEPA-filter air purifiers don’t collect ozone."
do-air-purifiers-need-water,"No, most air purifiers never need water. Air purifiers pass air through a dry HEPA filter, which needs replacement every 6-12 months."
most-powerful-space-heaters,"The Dyna-Glo Dual Power is the most powerful electric space heater with 15,000 Watts, but it requires professional installation."
bluegrass-living-propane-heater-review,"The Bluegrass Living propane heater beats other portable heaters with its high heat output. Plus, it has a built-in thermostat and blower!"
best-air-purifiers-for-small-rooms,"The best overall air purifier for small rooms is the Levoit Core 300. It can filter your entire small room’s air thoroughly in under one hour."
blueair-blue-211-review,"The Blueair Blue 211+ is not as feature-rich as its competitors, but it shines in energy efficiency, quiet operation, and user simplicity."
best-space-heaters-for-garages,"The best space heaters for garages are regular electric heaters for 1-2 car garages, portable propane heaters for 2-3 car garages."
best-shed-heaters,"For most sheds, a portable or wall-mounted propane heater is the best choice. They output the most heat for the least cost."
how-to-fix-an-infrared-heater-not-working,"To fix your infrared heater not working: Firmly smack it on the back. Push all infrared heating tubes in place. Remove all the dust."
